strand	strat	chr	gene_name	gene_id	end	gene_type
+	140404058	7	RAB19	ENSG00000146955	140427974	protein_coding
-	140435316	7	AC069335.1	ENSG00000103200	140435787	processed_pseudogene
-	140453033	7	MKRN1	ENSG00000133606	140479536	protein_coding
-	140518420	7	DENND2A	ENSG00000146966	140673993	protein_coding
+	140640909	7	AC006452.1	ENSG00000285904	140669476	lncRNA
+	140645829	7	RN7SL771P	ENSG00000240173	140646126	misc_RNA
+	140672945	7	ADCK2	ENSG00000133597	140696261	protein_coding
+	140690777	7	NDUFB2	ENSG00000090266	140722790	protein_coding
-	140695336	7	NDUFB2-AS1	ENSG00000240889	140697077	lncRNA
-	140719327	7	BRAF	ENSG00000157764	140924929	protein_coding
+	140884072	7	RNU6-85P	ENSG00000271932	140884178	snRNA
+	140934867	7	AC006006.1	ENSG00000271611	140935010	processed_pseudogene
-	140997952	7	CCT4P1	ENSG00000242703	140999800	processed_pseudogene
-	141002610	7	MRPS33	ENSG00000090263	141015228	protein_coding
+	141052249	7	RNU4-74P	ENSG00000223212	141052409	snRNA
+	141074064	7	TMEM178B	ENSG00000261115	141480380	protein_coding
-	141173043	7	AC006362.1	ENSG00000261778	141173216	processed_pseudogene
+	141351977	7	NDUFB10P2	ENSG00000261624	141352768	processed_pseudogene
-	141392155	7	AC005692.3	ENSG00000285841	141396517	lncRNA
-	141414383	7	AC005692.1	ENSG00000204990	141416390	lncRNA
-	141429711	7	AC005692.2	ENSG00000261629	141431268	lncRNA
-	141500079	7	AC073878.1	ENSG00000261570	141551304	lncRNA
-	141512698	7	AC073878.2	ENSG00000261797	141513183	lncRNA
+	141551278	7	AGK	ENSG00000006530	141655244	protein_coding
-	141652381	7	AC004918.1	ENSG00000244701	141656810	lncRNA
-	141656728	7	DENND11	ENSG00000257093	141702166	protein_coding
-	141662922	7	AC004918.3	ENSG00000270157	141663846	lncRNA
-	141704003	7	WEE2-AS1	ENSG00000228775	141738346	lncRNA
+	141708353	7	WEE2	ENSG00000214102	141731271	protein_coding
+	141727984	7	RNU1-82P	ENSG00000212153	141728148	snRNA
+	141738334	7	SSBP1	ENSG00000106028	141787922	protein_coding
+	141764097	7	TAS2R3	ENSG00000127362	141765197	protein_coding
+	141776674	7	TAS2R4	ENSG00000127364	141781691	protein_coding
+	141787815	7	TAS2R6P	ENSG00000270923	141788640	processed_pseudogene
+	141790217	7	TAS2R5	ENSG00000127366	141791367	protein_coding
-	141801315	7	MTCO1P55	ENSG00000241926	141802059	processed_pseudogene
-	141802482	7	MTND2P5	ENSG00000224354	141803487	processed_pseudogene
-	141803701	7	MTND1P3	ENSG00000239648	141804652	processed_pseudogene
+	141811805	7	MYL6P4	ENSG00000240677	141812257	processed_pseudogene
-	141836300	7	PRSS37	ENSG00000165076	141841487	protein_coding
+	141862860	7	OR9A3P	ENSG00000240031	141863737	transcribed_unprocessed_pseudogene
+	141887148	7	OR9A1P	ENSG00000237621	141888092	polymorphic_pseudogene
+	141907813	7	MGAM	ENSG00000257335	142106747	protein_coding
+	141911217	7	OR9N1P	ENSG00000244292	141911943	transcribed_unprocessed_pseudogene
+	141916399	7	OR9A4	ENSG00000258083	141920625	protein_coding
-	141927357	7	CLEC5A	ENSG00000258227	141947007	protein_coding
-	141972631	7	TAS2R38	ENSG00000257138	141973773	protein_coding
+	142111749	7	MGAM2	ENSG00000257743	142222324	protein_coding
-	142240740	7	MOXD2P	ENSG00000240268	142247067	transcribed_unprocessed_pseudogene
-	142252143	7	PRSS58	ENSG00000258223	142258058	protein_coding
-	142265833	7	TRY2P	ENSG00000186163	142272235	transcribed_unitary_pseudogene
+	142285750	7	AC245088.1	ENSG00000241881	142288869	lncRNA
-	142287251	7	PRSS3P3	ENSG00000277083	142291597	transcribed_unitary_pseudogene
+	142299177	7	TRBV1	ENSG00000242736	142299460	TR_V_pseudogene
+	142300924	7	TRBV2	ENSG00000226660	142301432	TR_V_gene
+	142308542	7	TRBV3-1	ENSG00000237702	142309048	TR_V_gene
+	142313184	7	TRBV4-1	ENSG00000211710	142313666	TR_V_gene
+	142320677	7	TRBV5-1	ENSG00000211734	142321544	TR_V_gene
+	142328297	7	TRBV6-1	ENSG00000211706	142328786	TR_V_gene
+	142332182	7	TRBV7-1	ENSG00000211707	142332701	TR_V_gene
+	142345421	7	TRBV4-2	ENSG00000211745	142345985	TR_V_gene
+	142349152	7	TRBV6-2	ENSG00000283063	142349664	TR_V_gene
+	142352819	7	TRBV7-2	ENSG00000282939	142353358	TR_V_gene
+	142358639	7	TRBV8-1	ENSG00000243889	142358917	TR_V_pseudogene
+	142372640	7	TRBV5-2	ENSG00000242771	142372912	TR_V_pseudogene
+	142380806	7	TRBV6-4	ENSG00000211713	142381261	TR_V_gene
+	142384329	7	TRBV7-3	ENSG00000211714	142384841	TR_V_gene
+	142386378	7	TRBV8-2	ENSG00000239944	142386647	TR_V_pseudogene
+	142389202	7	TRBV5-3	ENSG00000211715	142389668	TR_V_gene
+	142391891	7	TRBV9	ENSG00000211716	142392412	TR_V_gene
+	142399860	7	TRBV10-1	ENSG00000211717	142400377	TR_V_gene
+	142407672	7	TRBV11-1	ENSG00000211720	142408136	TR_V_gene
+	142415224	7	TRBV12-1	ENSG00000244661	142415666	TR_V_pseudogene
+	142424965	7	TRBV10-2	ENSG00000229769	142425465	TR_V_gene
+	142433895	7	TRBV11-2	ENSG00000241657	142434394	lncRNA
+	142440883	7	TRBV12-2	ENSG00000211739	142441325	TR_V_pseudogene
+	142450947	7	TRBV6-5	ENSG00000211721	142451448	TR_V_gene
+	142455174	7	TRBV7-4	ENSG00000253409	142455635	TR_V_gene
+	142462916	7	TRBV5-4	ENSG00000230099	142463581	TR_V_gene
+	142469537	7	TRBV6-6	ENSG00000211724	142470013	TR_V_gene
+	142474096	7	TRBV7-5	ENSG00000227550	142474567	TR_V_pseudogene
+	142482548	7	TRBV5-5	ENSG00000211725	142483019	TR_V_gene
+	142487863	7	TRBV6-7	ENSG00000253188	142488295	TR_V_gene
+	142492132	7	TRBV7-6	ENSG00000211727	142492673	TR_V_gene
+	142500028	7	TRBV5-6	ENSG00000211728	142500534	TR_V_gene
+	142507382	7	TRBV6-8	ENSG00000253534	142507810	TR_V_gene
+	142511626	7	TRBV7-7	ENSG00000253291	142512127	TR_V_gene
+	142520090	7	TRBV5-7	ENSG00000211731	142520556	TR_V_gene
+	142529290	7	TRBV7-9	ENSG00000278030	142529762	TR_V_gene
+	142535809	7	TRBV13	ENSG00000276405	142536292	TR_V_gene
+	142544212	7	TRBV10-3	ENSG00000275791	142544685	TR_V_gene
+	142554836	7	TRBV11-3	ENSG00000276597	142555318	TR_V_gene
+	142560423	7	TRBV12-3	ENSG00000274752	142560931	TR_V_gene
+	142563740	7	TRBV12-4	ENSG00000276953	142564245	TR_V_gene
+	142580917	7	TRBV12-5	ENSG00000275158	142581427	TR_V_gene
+	142587868	7	TRBV14	ENSG00000275743	142588359	TR_V_gene
+	142592928	7	TRBV15	ENSG00000276819	142593473	TR_V_gene
+	142598016	7	TRBV16	ENSG00000275243	142598469	TR_V_gene
+	142601628	7	TRBV17	ENSG00000277880	142602360	TR_V_gene
+	142615716	7	TRBV18	ENSG00000276557	142616415	TR_V_gene
+	142618849	7	TRBV19	ENSG00000211746	142619532	TR_V_gene
+	142626649	7	TRBV20-1	ENSG00000211747	142627399	TR_V_gene
+	142636924	7	TRBV21-1	ENSG00000251578	142637384	TR_V_pseudogene
+	142641746	7	TRBV22-1	ENSG00000240578	142642196	TR_V_pseudogene
+	142645961	7	TRBV23-1	ENSG00000211749	142646467	TR_V_gene
+	142656701	7	TRBV24-1	ENSG00000211750	142657213	TR_V_gene
+	142666272	7	MTRNR2L6	ENSG00000270672	142667718	protein_coding
+	142670740	7	TRBV25-1	ENSG00000282499	142671244	TR_V_gene
+	142681415	7	TRBVA	ENSG00000239992	142681869	TR_V_pseudogene
+	142695699	7	TRBV26	ENSG00000249912	142696183	TR_V_pseudogene
+	142711384	7	TRBVB	ENSG00000241911	142711924	TR_V_pseudogene
+	142715346	7	TRBV27	ENSG00000211752	142715861	TR_V_gene
+	142720660	7	TRBV28	ENSG00000211753	142721160	TR_V_gene
+	142722358	7	PGBD4P1	ENSG00000244273	142722764	processed_pseudogene
-	142725729	7	AC244472.1	ENSG00000286831	142733437	lncRNA
+	142740206	7	TRBV29-1	ENSG00000232869	142740894	TR_V_gene
+	142749468	7	PRSS1	ENSG00000204983	142753076	protein_coding
+	142760398	7	PRSS2	ENSG00000275896	142774564	protein_coding
+	142760415	7	PRSS3P1	ENSG00000250591	142763943	unprocessed_pseudogene
-	142778642	7	WBP1LP1	ENSG00000243661	142779537	processed_pseudogene
+	142786213	7	TRBD1	ENSG00000282431	142786224	TR_D_gene
+	142786880	7	TRBJ1-1	ENSG00000282320	142786927	TR_J_gene
+	142787017	7	TRBJ1-2	ENSG00000282420	142787064	TR_J_gene
+	142787630	7	TRBJ1-3	ENSG00000282133	142787679	TR_J_gene
+	142788225	7	TRBJ1-4	ENSG00000281958	142788275	TR_J_gene
+	142788498	7	TRBJ1-5	ENSG00000282173	142788547	TR_J_gene
+	142788988	7	TRBJ1-6	ENSG00000282780	142789040	TR_J_gene
+	142791694	7	TRBC1	ENSG00000211751	142793368	TR_C_gene
+	142796365	7	TRBJ2-1	ENSG00000211764	142796414	TR_J_gene
+	142796560	7	TRBJ2-2	ENSG00000211765	142796610	TR_J_gene
+	142796697	7	TRBJ2-2P	ENSG00000211766	142796742	TR_J_gene
+	142796847	7	TRBJ2-3	ENSG00000211767	142796895	TR_J_gene
+	142796998	7	TRBJ2-4	ENSG00000211768	142797047	TR_J_gene
+	142797119	7	TRBJ2-5	ENSG00000211769	142797166	TR_J_gene
+	142797239	7	TRBJ2-6	ENSG00000211770	142797291	TR_J_gene
+	142797456	7	TRBJ2-7	ENSG00000211771	142797502	TR_J_gene
+	142801041	7	TRBC2	ENSG00000211772	142802748	TR_C_gene
-	142812586	7	TRBV30	ENSG00000237254	142813399	TR_V_gene
+	142855061	7	EPHB6	ENSG00000106123	142871094	protein_coding
-	142871208	7	TRPV6	ENSG00000165125	142885745	protein_coding
+	142875836	7	AC245427.1	ENSG00000224970	142892743	lncRNA
-	142899365	7	AC245427.2	ENSG00000286569	142900759	lncRNA
-	142908101	7	TRPV5	ENSG00000127412	142933746	protein_coding
+	142939343	7	LLCFC1	ENSG00000165131	142940868	protein_coding
-	142941114	7	KEL	ENSG00000197993	142962363	protein_coding
-	143026158	7	OR9A2	ENSG00000179468	143027195	protein_coding
-	143047213	7	OR9P1P	ENSG00000239293	143047580	unprocessed_pseudogene
+	143052320	7	OR6V1	ENSG00000225781	143053347	protein_coding
-	143062330	7	OR6W1P	ENSG00000179420	143063585	transcribed_unprocessed_pseudogene
+	143132077	7	PIP	ENSG00000159763	143139739	protein_coding
+	143183419	7	TAS2R39	ENSG00000236398	143184435	protein_coding
-	143220468	7	AC073342.1	ENSG00000268170	143222267	lncRNA
+	143222037	7	TAS2R40	ENSG00000221937	143223079	protein_coding
-	143224042	7	AC073342.2	ENSG00000279223	143224234	TEC
+	143244093	7	GSTK1	ENSG00000197448	143270854	protein_coding
-	143255264	7	TMEM139-AS1	ENSG00000231840	143287997	lncRNA
+	143279957	7	TMEM139	ENSG00000178826	143288048	protein_coding
+	143288215	7	CASP2	ENSG00000106144	143307696	protein_coding
+	143290615	7	RN7SL535P	ENSG00000239419	143290910	misc_RNA
+	143298516	7	RN7SL481P	ENSG00000240322	143298814	misc_RNA
-	143312684	7	HINT1P1	ENSG00000231531	143313061	processed_pseudogene
+	143316111	7	CLCN1	ENSG00000188037	143352083	protein_coding
-	143353400	7	FAM131B	ENSG00000159784	143362770	protein_coding
+	143363899	7	FAM131B-AS1	ENSG00000272619	143364229	lncRNA
-	143379692	7	AC093673.1	ENSG00000232533	143380495	lncRNA
+	143381295	7	ZYX	ENSG00000159840	143391111	protein_coding
+	143382686	7	MIR6892	ENSG00000278449	143382800	miRNA
-	143390289	7	EPHA1	ENSG00000146904	143408856	protein_coding
+	143407813	7	EPHA1-AS1	ENSG00000229153	143523449	lncRNA
+	143437034	7	TAS2R62P	ENSG00000234066	143437973	unitary_pseudogene
+	143443453	7	TAS2R60	ENSG00000185899	143444409	protein_coding
+	143477873	7	TAS2R41	ENSG00000221855	143478796	protein_coding
-	143488462	7	OR2R1P	ENSG00000236853	143489402	unitary_pseudogene
-	143509256	7	OR10AC1	ENSG00000176510	143519469	polymorphic_pseudogene
-	143532749	7	AC073264.1	ENSG00000229977	143533164	processed_pseudogene
-	143545186	7	PAICSP5	ENSG00000229877	143546735	processed_pseudogene
+	143571801	7	CTAGE15	ENSG00000271079	143574387	protein_coding
+	143574746	7	RNU6-162P	ENSG00000252037	143574848	snRNA
+	143578907	7	AC073264.2	ENSG00000230556	143579072	processed_pseudogene
+	143598039	7	TCAF1P1	ENSG00000223459	143604839	unprocessed_pseudogene
+	143620943	7	AC073264.3	ENSG00000283537	143645675	transcribed_unprocessed_pseudogene
+	143620952	7	TCAF2	ENSG00000170379	143730409	protein_coding
-	143639230	7	TCAF2C	ENSG00000283528	143647646	protein_coding
-	143754628	7	RNU6-267P	ENSG00000252523	143754730	snRNA
-	143755089	7	CTAGE6	ENSG00000271321	143757696	protein_coding
-	143761790	7	AC099548.2	ENSG00000253882	143836933	transcribed_unprocessed_pseudogene
+	143782667	7	PAICSP6	ENSG00000241136	143784284	processed_pseudogene
+	143796295	7	AC099548.1	ENSG00000232145	143796720	processed_pseudogene
+	143800732	7	TCAF2P1	ENSG00000159860	143817973	transcribed_unprocessed_pseudogene
-	143851375	7	TCAF1	ENSG00000198420	143902198	protein_coding
+	143935166	7	OR2F2	ENSG00000221910	143936279	protein_coding
+	143954844	7	OR2F1	ENSG00000213215	143997312	protein_coding
-	143979121	7	CAPZA1P5	ENSG00000270729	143980225	processed_pseudogene
+	143980905	7	OR2Q1P	ENSG00000273377	143981820	unprocessed_pseudogene
+	143985142	7	SLC16A1P1	ENSG00000242280	143986651	processed_pseudogene
+	144000320	7	OR6B1	ENSG00000221813	144008793	protein_coding
+	144048948	7	OR2A5	ENSG00000221836	144058845	protein_coding
+	144069811	7	OR2A25	ENSG00000221933	144075870	protein_coding
+	144077721	7	OR2A41P	ENSG00000239967	144077825	unprocessed_pseudogene
+	144086278	7	OR2A12	ENSG00000221858	144098953	protein_coding
+	144109514	7	OR2A2	ENSG00000221989	144110564	protein_coding
-	144118461	7	OR2A15P	ENSG00000239981	144119360	unprocessed_pseudogene
+	144123176	7	OR2A14	ENSG00000221938	144131188	protein_coding
+	144142009	7	OR2A13P	ENSG00000273234	144142938	unprocessed_pseudogene
+	144153486	7	OR2A3P	ENSG00000183122	144158905	transcribed_unprocessed_pseudogene
+	144176740	7	OR2AO1P	ENSG00000240621	144177142	unprocessed_pseudogene
+	144183466	7	CTAGE4	ENSG00000225932	144186053	protein_coding
-	144186083	7	ARHGEF35	ENSG00000213214	144195833	protein_coding
+	144194858	7	ARHGEF35-AS1	ENSG00000244198	144280547	lncRNA
-	144228244	7	OR2A42	ENSG00000212807	144239605	protein_coding
-	144250045	7	OR2A20P	ENSG00000170356	144256244	transcribed_unprocessed_pseudogene
-	144251264	7	AC074386.1	ENSG00000284644	144355707	lncRNA
-	144257663	7	OR2A7	ENSG00000243896	144264792	protein_coding
-	144266701	7	CTAGE8	ENSG00000244693	144269288	protein_coding
-	144272445	7	ARHGEF34P	ENSG00000204959	144286966	unprocessed_pseudogene
+	144294480	7	OR2A9P	ENSG00000228960	144300934	transcribed_unprocessed_pseudogene
-	144300395	7	OR2A1-AS1	ENSG00000244479	144356181	lncRNA
+	144312419	7	OR2A1	ENSG00000221970	144322737	protein_coding
+	144355288	7	ARHGEF5	ENSG00000050327	144380632	protein_coding
-	144397240	7	NOBOX	ENSG00000106410	144410227	protein_coding
-	144434826	7	PPIAP83	ENSG00000242978	144435314	processed_pseudogene
+	144451681	7	RNU6ATAC40P	ENSG00000221507	144451817	snRNA
-	144451941	7	TPK1	ENSG00000196511	144836395	protein_coding
-	144647186	7	EEF1A1P10	ENSG00000243746	144648575	processed_pseudogene
-	144849755	7	RN7SKP174	ENSG00000200673	144850084	misc_RNA
+	145005058	7	EI24P4	ENSG00000236343	145006135	processed_pseudogene
+	145009961	7	AC073310.1	ENSG00000214035	145010993	processed_pseudogene
-	145039999	7	RPL7P59	ENSG00000225918	145040941	processed_pseudogene
+	145269514	7	AC004911.1	ENSG00000226592	145270384	processed_pseudogene
+	145583197	7	DPY19L4P2	ENSG00000231839	145584817	processed_pseudogene
-	145675679	7	AC006007.1	ENSG00000230746	145681369	lncRNA
+	146050062	7	AC073308.1	ENSG00000280144	146050366	TEC
+	146116002	7	CNTNAP2	ENSG00000174469	148420998	protein_coding
-	146208665	7	AC073418.1	ENSG00000274127	146208819	misc_RNA
-	147080934	7	CNTNAP2-AS1	ENSG00000236795	147097609	lncRNA
+	147146342	7	DUTP3	ENSG00000226857	147146756	transcribed_processed_pseudogene
+	147167344	7	RANP2	ENSG00000232391	147167572	processed_pseudogene
-	147378017	7	MIR548F4	ENSG00000221442	147378121	miRNA
+	147671711	7	AC005518.1	ENSG00000230190	147673143	lncRNA
-	147704294	7	AC005518.2	ENSG00000270634	147704575	processed_pseudogene
+	147831770	7	RNU6-1184P	ENSG00000207318	147831877	snRNA
+	147849884	7	RNA5SP249	ENSG00000251936	147849982	rRNA_pseudogene
+	147940007	7	RN7SL456P	ENSG00000242266	147940301	misc_RNA
+	148438309	7	RN7SL72P	ENSG00000243374	148438577	misc_RNA
+	148445786	7	AC083849.1	ENSG00000274133	148446299	processed_pseudogene
-	148473599	7	AC006974.1	ENSG00000283504	148503458	lncRNA
-	148543677	7	AC006974.2	ENSG00000283648	148572177	lncRNA
+	148580401	7	RPL32P17	ENSG00000213210	148580799	processed_pseudogene
-	148584818	7	AC005229.4	ENSG00000287636	148625479	lncRNA
+	148590766	7	C7orf33	ENSG00000170279	148615860	protein_coding
+	148637179	7	AC005229.1	ENSG00000213209	148637587	processed_pseudogene
+	148649547	7	AC005229.2	ENSG00000270200	148650240	processed_pseudogene
-	148696467	7	AC005229.3	ENSG00000273314	148698664	lncRNA
+	148697914	7	CUL1	ENSG00000055130	148801110	protein_coding
-	148807383	7	EZH2	ENSG00000106462	148884321	protein_coding
+	148821012	7	RNU7-20P	ENSG00000251712	148821073	snRNA
+	148890226	7	RN7SL569P	ENSG00000239468	148890513	misc_RNA
-	148940265	7	AC073140.2	ENSG00000286180	148941228	lncRNA
+	148941483	7	AC073140.1	ENSG00000286171	148941638	lncRNA
+	148963315	7	RNY4	ENSG00000252316	148963410	misc_RNA
+	148983755	7	RNY3	ENSG00000202354	148983856	misc_RNA
-	148987136	7	RNY1	ENSG00000201098	148987248	misc_RNA
+	148987527	7	GHET1	ENSG00000281189	148989432	lncRNA
-	149003062	7	PDIA4	ENSG00000155660	149028662	protein_coding
+	149033057	7	RNU6-650P	ENSG00000202528	149033167	snRNA
+	149053961	7	COX6B1P1	ENSG00000234565	149054173	processed_pseudogene
-	149069641	7	ZNF786	ENSG00000197362	149090782	protein_coding
-	149102784	7	ZNF425	ENSG00000204947	149126324	protein_coding
-	149125690	7	RN7SL521P	ENSG00000240877	149125986	misc_RNA
+	149126416	7	ZNF398	ENSG00000197024	149183042	protein_coding
-	149191043	7	AC004890.1	ENSG00000239719	149191223	processed_pseudogene
+	149195546	7	ZNF282	ENSG00000170265	149226238	protein_coding
+	149239651	7	ZNF212	ENSG00000170260	149255606	protein_coding
+	149262171	7	ZNF783	ENSG00000204946	149297302	protein_coding
-	149275619	7	AC004890.3	ENSG00000271664	149277992	unprocessed_pseudogene
+	149285281	7	AC004890.2	ENSG00000244560	149297312	transcribed_unprocessed_pseudogene
-	149321865	7	AC004941.2	ENSG00000231397	149322092	processed_pseudogene
+	149334024	7	NPM1P12	ENSG00000215311	149334857	processed_pseudogene
+	149398204	7	AC004941.1	ENSG00000228151	149401456	lncRNA
+	149422675	7	AC073314.1	ENSG00000261842	149424890	lncRNA
-	149431363	7	ZNF777	ENSG00000196453	149461062	protein_coding
-	149472696	7	ZNF746	ENSG00000181220	149497817	protein_coding
-	149547154	7	ZNF767P	ENSG00000133624	149624752	transcribed_unprocessed_pseudogene
+	149714781	7	KRBA1	ENSG00000133619	149734575	protein_coding
-	149764182	7	ZNF467	ENSG00000181444	149773588	protein_coding
+	149776042	7	SSPOP	ENSG00000197558	149833979	transcribed_unitary_pseudogene
+	149838375	7	ZNF862	ENSG00000106479	149867479	protein_coding
+	149851572	7	AC004877.2	ENSG00000280149	149852170	TEC
-	149858400	7	AC004877.1	ENSG00000273419	149862492	lncRNA
-	149867697	7	ATP6V0E2-AS1	ENSG00000204934	149880610	lncRNA
+	149872968	7	ATP6V0E2	ENSG00000171130	149891204	protein_coding
-	149881359	7	AC093458.1	ENSG00000273293	149881580	lncRNA
+	149881477	7	AC093458.2	ENSG00000279536	149882105	TEC
+	149890739	7	AC092681.3	ENSG00000273011	149891416	lncRNA
-	149891191	7	AC092681.1	ENSG00000224016	149909704	unprocessed_pseudogene
+	150000752	7	AC092681.2	ENSG00000260555	150005124	lncRNA
+	150033653	7	AC092666.1	ENSG00000241449	150076655	lncRNA
-	150047609	7	AC092666.2	ENSG00000276538	150047854	unprocessed_pseudogene
-	150234194	7	AC006008.1	ENSG00000286912	150237608	lncRNA
-	150243916	7	ACTR3C	ENSG00000106526	150323725	protein_coding
+	150322639	7	ZBED6CL	ENSG00000188707	150332721	protein_coding
+	150323263	7	LRRC61	ENSG00000127399	150338156	protein_coding
+	150337483	7	AC005586.1	ENSG00000261305	150343346	lncRNA
-	150338317	7	RARRES2	ENSG00000106538	150341662	protein_coding
-	150363777	7	REPIN1-AS1	ENSG00000240449	150372590	lncRNA
+	150368189	7	REPIN1	ENSG00000214022	150374044	protein_coding
+	150368790	7	ZNF775	ENSG00000196456	150398630	protein_coding
+	150379329	7	AC073111.2	ENSG00000284048	150410597	lncRNA
-	150379854	7	ZNF775-AS1	ENSG00000239377	150383885	lncRNA
+	150400702	7	AC073111.3	ENSG00000284691	150412470	protein_coding
+	150433654	7	LINC00996	ENSG00000242258	150448140	lncRNA
+	150450630	7	GIMAP8	ENSG00000171115	150479393	protein_coding
-	150484061	7	AC073111.1	ENSG00000271582	150485135	processed_pseudogene
-	150512559	7	STRADBP1	ENSG00000213205	150513839	processed_pseudogene
+	150514872	7	GIMAP7	ENSG00000179144	150521073	protein_coding
-	150541754	7	ALDH7A1P3	ENSG00000243853	150542098	processed_pseudogene
+	150567369	7	GIMAP4	ENSG00000133574	150573953	protein_coding
-	150603561	7	AC069304.3	ENSG00000271568	150604644	processed_pseudogene
-	150614061	7	AC069304.1	ENSG00000232361	150614764	processed_pseudogene
-	150625375	7	GIMAP6	ENSG00000133561	150632648	protein_coding
-	150676833	7	AC069304.2	ENSG00000270990	150677918	processed_pseudogene
+	150685697	7	GIMAP2	ENSG00000106560	150693641	protein_coding
+	150716606	7	GIMAP1	ENSG00000213203	150724284	protein_coding
+	150716668	7	GIMAP1-GIMAP5	ENSG00000281887	150743646	protein_coding
+	150722253	7	GIMAP5	ENSG00000196329	150750033	protein_coding
-	150746893	7	GIMAP3P	ENSG00000177590	150747728	processed_pseudogene
+	150749736	7	BET1P1	ENSG00000241134	150750094	processed_pseudogene
-	150791285	7	TMEM176B	ENSG00000106565	150801360	protein_coding
+	150800403	7	TMEM176A	ENSG00000002933	150805118	protein_coding
+	150824627	7	AOC1	ENSG00000002726	150861504	protein_coding
-	150944961	7	KCNH2	ENSG00000055118	150978321	protein_coding
+	150991017	7	NOS3	ENSG00000164867	151014588	protein_coding
-	151012209	7	ATG9B	ENSG00000181652	151024499	protein_coding
+	151028422	7	ABCB8	ENSG00000197150	151047782	protein_coding
-	151028781	7	AC010973.1	ENSG00000243433	151029754	lncRNA
+	151048292	7	ASIC3	ENSG00000213199	151052756	protein_coding
-	151053815	7	CDK5	ENSG00000164885	151057897	protein_coding
+	151057210	7	SLC4A2	ENSG00000164889	151076526	protein_coding
+	151061928	7	AC010973.3	ENSG00000288608	151061978	protein_coding
-	151074742	7	AC010973.2	ENSG00000244151	151076530	lncRNA
-	151076593	7	FASTK	ENSG00000164896	151080866	protein_coding
-	151081085	7	TMUB1	ENSG00000164897	151083493	protein_coding
+	151085831	7	AGAP3	ENSG00000133612	151144436	protein_coding
-	151148589	7	GBX1	ENSG00000164900	151174745	protein_coding
-	151175698	7	ASB10	ENSG00000146926	151187832	protein_coding
-	151190873	7	IQCA1L	ENSG00000278685	151205496	protein_coding
-	151207837	7	H2BE1	ENSG00000285480	151210378	protein_coding
-	151207837	7	ABCF2-H2BE1	ENSG00000285292	151227166	protein_coding
-	151211484	7	ABCF2	ENSG00000033050	151227205	protein_coding
+	151232489	7	CHPF2	ENSG00000033100	151238827	protein_coding
+	151238421	7	MIR671	ENSG00000284191	151238538	miRNA
-	151238764	7	SMARCD3	ENSG00000082014	151277896	protein_coding
+	151240399	7	AC021097.1	ENSG00000272661	151240972	lncRNA
+	151249325	7	AC005486.1	ENSG00000243018	151254390	lncRNA
+	151341772	7	NUB1	ENSG00000013374	151378449	protein_coding
-	151375909	7	WDR86	ENSG00000187260	151410727	protein_coding
+	151409161	7	WDR86-AS1	ENSG00000243836	151413354	lncRNA
+	151427683	7	AC005996.1	ENSG00000241456	151439124	lncRNA
-	151428832	7	CRYGN	ENSG00000127377	151440813	protein_coding
-	151433489	7	MIR3907	ENSG00000265810	151433639	miRNA
-	151464650	7	RN7SL76P	ENSG00000241959	151464938	misc_RNA
-	151466012	7	RHEB	ENSG00000106615	151520120	protein_coding
+	151501878	7	ETF1P2	ENSG00000240132	151503463	processed_pseudogene
-	151556124	7	PRKAG2	ENSG00000106617	151877125	protein_coding
+	151806490	7	AC093583.1	ENSG00000242048	151810820	lncRNA
+	151877042	7	PRKAG2-AS1	ENSG00000239911	151879223	lncRNA
+	151900275	7	RNU6-604P	ENSG00000212219	151900374	snRNA
-	151950386	7	AC074257.1	ENSG00000227562	151954985	lncRNA
+	151956379	7	GALNTL5	ENSG00000106648	152019929	protein_coding
+	152025674	7	GALNT11	ENSG00000178234	152122340	protein_coding
-	152120001	7	AC006017.1	ENSG00000229591	152121717	lncRNA
+	152128879	7	YBX1P4	ENSG00000213188	152129686	processed_pseudogene
-	152134922	7	KMT2C	ENSG00000055609	152436641	protein_coding
+	152366763	7	AC104692.2	ENSG00000270405	152367015	processed_pseudogene
+	152367171	7	AC104692.1	ENSG00000204894	152367260	processed_pseudogene
+	152367519	7	SEPTIN7P6	ENSG00000241007	152368661	processed_pseudogene
+	152435695	7	FABP5P3	ENSG00000241735	152443176	transcribed_processed_pseudogene
+	152445477	7	CCT8L1P	ENSG00000020219	152447150	processed_pseudogene
+	152463786	7	LINC01003	ENSG00000261455	152465549	lncRNA
-	152590641	7	AC104843.2	ENSG00000231139	152590941	unprocessed_pseudogene
-	152602213	7	AC104843.1	ENSG00000225416	152602892	processed_pseudogene
+	152609313	7	AC003109.1	ENSG00000212590	152609434	snoRNA
-	152644776	7	XRCC2	ENSG00000196584	152676141	protein_coding
+	152749079	7	ATP5PBP3	ENSG00000214003	152749735	processed_pseudogene
+	152757662	7	RN7SL845P	ENSG00000244328	152757951	misc_RNA
+	152759749	7	ACTR3B	ENSG00000133627	152855378	protein_coding
+	152925233	7	AC006348.1	ENSG00000286565	152936981	lncRNA
-	153144313	7	AC079809.1	ENSG00000224104	153144588	processed_pseudogene
-	153355365	7	LINC01287	ENSG00000234722	153413985	lncRNA
+	153395484	7	AC073236.1	ENSG00000285524	153396921	lncRNA
+	153449429	7	PAXBP1P1	ENSG00000233489	153449875	processed_pseudogene
